iter	MAE
0	6.524237514
1	6.508248886
2	6.494547937
3	6.481961128
4	6.471292831
5	6.462029918
6	6.452943881
7	6.445037663
8	6.437893948
9	6.431315385
10	6.425914131
11	6.420255599
12	6.414648382
13	6.409167086
14	6.40435345
15	6.400402478
16	6.395757793
17	6.391581081
18	6.388280892
19	6.38506314
20	6.381469409
21	6.37926378
22	6.375892911
23	6.373277869
24	6.369844331
25	6.366251235
26	6.363673646
27	6.361047726
28	6.357922288
29	6.355726063
30	6.353478817
31	6.350923065
32	6.348871269
33	6.346139705
34	6.344484986
35	6.341179396
36	6.338673275
37	6.336247863
38	6.334363734
39	6.332305177
40	6.329917394
41	6.328220327
42	6.326135732
43	6.323755829
44	6.321736961
45	6.320251585
46	6.318402638
47	6.315555097
48	6.313987397
49	6.311773373
50	6.309737235
51	6.30718196
52	6.305277403
53	6.302546657
54	6.300717791
55	6.298800186
56	6.297371959
57	6.295089849
58	6.293909873
59	6.292289645
60	6.290142403
61	6.288257027
62	6.286045309
63	6.284086062
64	6.282120082
65	6.280452148
66	6.27870401
67	6.277831028
68	6.275597695
69	6.27388711
70	6.272233866
71	6.270980914
72	6.269556428
73	6.268291541
74	6.266937794
75	6.26470539
76	6.263007958
77	6.261352114
78	6.258898688
79	6.256398989
80	6.253631062
81	6.251078848
82	6.249886509
83	6.247935727
84	6.246684738
85	6.245431079
86	6.244072534
87	6.243036323
88	6.241136619
89	6.23893537
90	6.236958674
91	6.235803652
92	6.234162501
93	6.232884409
94	6.231059611
95	6.229145899
96	6.22758685
97	6.226371292
98	6.22463823
99	6.223143123
100	6.221431983
101	6.220349747
102	6.219551274
103	6.2172813
104	6.215830592
105	6.21414958
106	6.211879231
107	6.210414091
108	6.208975507
109	6.206601445
110	6.205442337
111	6.203340797
112	6.20228415
113	6.200778692
114	6.199407832
115	6.198019221
116	6.196764544
117	6.19536524
118	6.194044531
119	6.192125029
120	6.190182492
121	6.188479061
122	6.186957566
123	6.185193758
124	6.183850807
125	6.18304105
126	6.182318683
127	6.180949941
128	6.179237455
129	6.177523446
130	6.176196452
131	6.174125849
132	6.173040445
133	6.172028772
134	6.169503816
135	6.168477646
136	6.167152646
137	6.166233121
138	6.164276089
139	6.163107503
140	6.160860448
141	6.159477526
142	6.158161555
143	6.157218239
144	6.155780992
145	6.153901253
146	6.152639539
147	6.151175376
148	6.149824114
149	6.148205329
150	6.147033029
151	6.145103987
152	6.143784046
153	6.142184231
154	6.140894806
155	6.139302442
156	6.138009944
157	6.13602102
