iter	Passed	Remaining
0	2433	1214473
1	4473	1114017
2	6616	1096099
3	8764	1086838
4	11070	1095933
5	13074	1076501
6	15278	1076068
7	17356	1067453
8	19434	1060242
9	21653	1061034
10	23732	1055029
11	25953	1055448
12	28173	1055437
13	30374	1054430
14	32481	1050238
15	34652	1048243
16	36766	1044606
17	39075	1046351
18	41123	1041068
19	43067	1033615
20	45259	1032338
21	47393	1029731
22	49416	1024858
23	51399	1019414
24	53371	1014062
25	55553	1012784
26	57629	1009582
27	59800	1008060
28	62056	1007890
29	64299	1007366
30	66596	1007533
31	68920	1007963
32	71027	1005149
33	73239	1003809
34	75535	1003543
35	78131	1007034
36	80400	1006087
37	82951	1008520
38	85182	1006905
39	88286	1015291
40	90880	1017412
41	93089	1015115
42	95332	1013182
43	97452	1009961
44	99436	1005415
45	101509	1001854
46	103652	999036
47	105978	997963
48	107982	993882
49	109943	989494
50	112153	987390
51	114165	983578
52	116362	981393
53	118526	978943
54	120634	976039
55	122662	972538
56	124565	968117
57	126613	964885
58	128529	960706
59	130546	957338
60	132565	954037
61	134527	950368
62	136489	946758
63	138500	943533
64	140556	940650
65	142427	936567
66	144271	932381
67	146263	929205
68	148291	926287
69	150314	923360
70	152243	919894
71	154196	916614
72	156290	914189
73	158267	911108
74	160235	908000
75	162269	905292
76	164285	902505
77	166385	900189
78	168438	897626
79	170698	896165
80	172674	893217
81	174630	890189
82	176579	887150
83	178651	884752
84	180651	882006
85	182538	878733
86	184715	876866
87	186827	874694
88	188710	871458
89	190826	869322
90	192737	866260
91	194661	863279
92	196822	861362
93	198966	859367
94	200961	856731
95	202919	853954
96	204903	851300
97	206954	848934
98	208995	846536
99	211053	844212
100	213020	841536
101	214978	838838
102	217046	836578
103	219130	834380
104	221166	832008
105	223258	829848
106	225357	827715
107	227484	825685
108	229515	823309
109	231699	821480
110	233641	818798
111	235889	817187
112	237918	814819
113	239951	812467
114	241978	810100
115	244021	807793
116	246089	805575
117	248163	803378
118	250184	801010
119	252345	799094
120	254345	796667
121	256303	794121
122	258360	791886
123	260406	789618
124	262431	787293
125	264363	784696
126	266319	782183
127	268356	779911
128	270393	777642
129	272483	775529
130	274546	773340
131	276630	771212
132	278560	768658
133	280523	766205
134	282735	764433
135	284945	762647
136	287068	760626
137	288968	758018
138	291064	755929
139	293128	753757
140	295158	751502
141	297080	748976
142	299167	746873
143	301167	744551
144	303174	742255
145	305164	739920
146	307212	737729
147	309243	735496
148	311274	733270
149	313343	731135
150	315345	728844
151	317373	726617
152	319323	724217
153	321254	721779
154	323225	719438
155	325334	717404
156	327366	715201
157	329398	713002
158	331443	710831
159	333378	708428
160	335276	705954
161	337359	703872
162	339462	701832
163	341530	699721
164	343467	697343
165	345482	695126
166	347718	693354
167	349755	691183
168	351831	689090
169	353742	686676
170	355754	684463
171	357851	682415
172	360090	680633
173	362288	678769
174	364253	676471
175	366267	674265
176	368329	672148
177	370430	670103
178	372552	668096
179	374569	665901
180	376679	663871
181	378761	661792
